,address,zip_code,price,bed,bath,sqr_footage,property_link
108,2036 W 10th Ave #202,V6J 2B3,"$749,000",1 bed,1 bath,700 ,https://www.redfin.com/bc/vancouver/2036-W-10th-Ave-V6J-2B3/unit-202/home/155484128
109,2799 Yew St #705,V6K 4W2,"$683,000",1 bed,1 bath,620 ,https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-705/home/155874157
110,1786 W 6th Ave,V6J 0E5,"$1,138,000",1 bed,1.5 baths,"1,037 ",https://www.redfin.com/bc/vancouver/1786-W-6th-Ave-V6J-5E8/home/155392251
111,1824 W 12th Ave,V6J 2E8,"$835,000",1 bed,1.5 baths,681 ,https://www.redfin.com/bc/vancouver/1824-W-12th-Ave-V6J-2E8/home/178274801
112,2655 Cranberry Dr #210,V6K 4V5,"$1,329,900",2 beds,2 baths,"1,039 ",https://www.redfin.com/bc/vancouver/2655-Cranberry-Dr-V6K-4V5/unit-210/home/155928450
113,1868 W 8th Ave #201,V6J 5G3,"$985,000",2 beds,2 baths,913 ,https://www.redfin.com/bc/vancouver/1868-W-8th-Ave-V6J-5G3/unit-201/home/155486142
114,2028 W 11th Ave #402,V6J 2C9,"$649,000",1 bed,1 bath,590 ,https://www.redfin.com/bc/vancouver/2028-W-11th-Ave-V6J-2C9/unit-402/home/155298347
115,2323 Fir St #302,V6J 5J9,"$871,900",1 bed,1 bath,498 ,https://www.redfin.com/bc/vancouver/2323-Fir-St-V6J-1S5/unit-302/home/190145821
116,2070 W 14th Ave,V6J 2K4,"$3,880,000",8 beds,4 baths,"4,079 ",https://www.redfin.com/bc/vancouver/2070-W-14th-Ave-V6J-2K4/home/155380657
117,2799 Yew St #702,V6K 4W2,"$1,529,000",1 bed,2 baths,"1,286 ",https://www.redfin.com/bc/vancouver/2799-Yew-St-V6K-4W2/unit-702/home/155583853
118,2063 W 10th Ave,V6J 0H1,"$1,489,000",2 beds,2.5 baths,"1,254 ",https://www.redfin.com/bc/vancouver/2063-W-10th-Ave-V6J-1Z4/home/168458498
119,1880 W 6th Ave #411,V6J 1R6,"$1,149,000",2 beds,1.5 baths,"1,174 ",https://www.redfin.com/bc/vancouver/1880-W-6th-Ave-V6J/unit-411/home/155508198
120,2330 Maple St #208,V6J 3T6,"$535,000",1 bed,1 bath,536 ,https://www.redfin.com/bc/vancouver/2330-Maple-St-V6J-3T6/unit-208/home/155436535
121,2161 W 12th Ave #202,V6K 4S7,"$999,900",2 beds,2 baths,903 ,https://www.redfin.com/bc/vancouver/2161-W-12th-Ave-V6K-4S7/unit-202/home/155709227
122,1777 W 13th Ave #310,V6J 2H2,"$948,800",2 beds,1.5 baths,"1,122 ",https://www.redfin.com/bc/vancouver/1777-W-13th-Ave-V6J-2H2/unit-310/home/168575720
123,1595 W 14 Ave #201,V6J 2J1,"$950,000",2 beds,1.5 baths,"1,136 ",https://www.redfin.com/bc/vancouver/1595-W-14th-Ave-V6J-2J1/unit-201/home/155357305
124,1956 W 5th Ave,V6J 1P7,"$1,698,000",3 beds,3 baths,"1,339 ",https://www.redfin.com/bc/vancouver/1956-W-5th-Ave-V6J-1P7/home/155446247
125,1990 W 6th Ave #112,V6J 4V4,"$649,000",1 bed,1 bath,732 ,https://www.redfin.com/bc/vancouver/1990-W-6th-Ave-V6J-4V4/unit-112/home/155328486
126,1937 W 12th Ave,V6J 2G1,"$899,000",2 beds,1.5 baths,"1,148 ",https://www.redfin.com/bc/vancouver/1937-W-12th-Ave-V6J-2G1/home/155391511
127,2228 W Broadway #703,V6K 0B1,"$799,800",1 bed,1 bath,663 ,https://www.redfin.com/bc/vancouver/2228-W-Broadway-V6K-0B1/unit-703/home/155934596
